"title","hit","url","title","hit","url","title","hit","url","title","hit","url","title","hit","url","title","hit","url","title","hit","url","title","hit","url","title","hit","url","title","hit","url","title","hit","url"
"그냥 열민당 뽑을래요.","769.9 k","https://www.clien.net/service/board/park/14816408?od=T31&po=0&category=&groupCd","극혐주의) 오늘도 또 막말jpg","769.9 k","https://www.clien.net/service/board/park/14816362?od=T31&po=1&category=&groupCd","비례대표토론회 보니까, 열린민주당의 필요성이...","769.9 k","https://www.clien.net/service/board/park/14816314?od=T31&po=2&category=&groupCd","솔직히 정의당이 제일 마음에 안 들거든요.","769.9 k","https://www.clien.net/service/board/park/14816274?od=T31&po=3&category=&groupCd","지역구에 집중합시다","769.9 k","https://www.clien.net/service/board/park/14816229?od=T31&po=4&category=&groupCd","디즈니플러스 한국지사 개소, 코로나로 개점 휴업 상태","769.9 k","https://www.clien.net/service/board/park/14816181?od=T31&po=5&category=&groupCd","몇해전 마누님께 차를 사줬습니다.","769.9 k","https://www.clien.net/service/board/park/14816143?od=T31&po=6&category=&groupCd","그나마 페미니즘을 비판하는 분들을 보면..","769.9 k","https://www.clien.net/service/board/park/14816097?od=T31&po=7&category=&groupCd","'모비우스' 개봉도 연기되었군요","769.9 k","https://www.clien.net/service/board/park/14816052?od=T31&po=8&category=&groupCd","비례는 12번으로 부모님도 섭외 했습니다.","769.9 k","https://www.clien.net/service/board/park/14816006?od=T31&po=9&category=&groupCd","비례는 12번으로 부모님도 섭외 했습니다.","769.9 k","https://www.clien.net/service/board/park/14816006?od=T31&po=9&category=&groupCd"
"교통량이 줄어들어 쾌청한 LA 스카이라인.jpg","127.3 k","https://www.clien.net/service/board/park/14816407?od=T31&po=0&category=&groupCd","저는 열린민주당을 응원합니다만,","127.3 k","https://www.clien.net/service/board/park/14816361?od=T31&po=1&category=&groupCd","정의당 표를 뺏어오기 위해서는 시민당 비례 1~10번이 활약해줘야 합니다.","127.3 k","https://www.clien.net/service/board/park/14816313?od=T31&po=2&category=&groupCd","서울 룸빵 집합금지의 여파","127.3 k","https://www.clien.net/service/board/park/14816270?od=T31&po=3&category=&groupCd","(차명진) 다시 봅니다. '이 XX가 어딜 도망가'","127.3 k","https://www.clien.net/service/board/park/14816227?od=T31&po=4&category=&groupCd","현재 더불어민주당 입장은 옳습니다.","127.3 k","https://www.clien.net/service/board/park/14816180?od=T31&po=5&category=&groupCd","일본을 보면 가장 적합한 용어는","127.3 k","https://www.clien.net/service/board/park/14816142?od=T31&po=6&category=&groupCd","공작예고 오늘인가보네요.","127.3 k","https://www.clien.net/service/board/park/14816096?od=T31&po=7&category=&groupCd","현수막(Placard)은 플래카드... 저희 집은 시민2 열린1","127.3 k","https://www.clien.net/service/board/park/14816051?od=T31&po=8&category=&groupCd","일본이 필리핀처럼 될까요?","127.3 k","https://www.clien.net/service/board/park/14816005?od=T31&po=9&category=&groupCd","일본이 필리핀처럼 될까요?","127.3 k","https://www.clien.net/service/board/park/14816005?od=T31&po=9&category=&groupCd"
"요즘들어 발견한 일본인들의 습성","1428","https://www.clien.net/service/board/park/14816406?od=T31&po=0&category=&groupCd","일산 마두역 여자화장실서 불법촬영","8","https://www.clien.net/service/board/park/14816359?od=T31&po=1&category=&groupCd","군대가서 만났던 애들...","2345","https://www.clien.net/service/board/park/14816311?od=T31&po=2&category=&groupCd","여기저기 갈라치기 시도하시는 분들","1531","https://www.clien.net/service/board/park/14816269?od=T31&po=3&category=&groupCd","日대사 '韓기업인 예외입국, 어떤 형태든 어려워'","566","https://www.clien.net/service/board/park/14816225?od=T31&po=4&category=&groupCd","갤노트FE에서 노트10으로 바꿨는데 사진 화질이 생각보다...","143","https://www.clien.net/service/board/park/14816179?od=T31&po=5&category=&groupCd","정의당이 민주당 지역구 뒷다리 잡네요...","927","https://www.clien.net/service/board/park/14816140?od=T31&po=6&category=&groupCd","결혼생활이 힘들긴 하는데요...","2143","https://www.clien.net/service/board/park/14816093?od=T31&po=7&category=&groupCd","박형준의 뒷짐지고 사과하기....실수겠죠ㅠㅠ","716","https://www.clien.net/service/board/park/14816049?od=T31&po=8&category=&groupCd","매불쇼 듣는데 김홍걸 ㅡㅡ","567","https://www.clien.net/service/board/park/14816003?od=T31&po=9&category=&groupCd","매불쇼 듣는데 김홍걸 ㅡㅡ","831","https://www.clien.net/service/board/park/14816003?od=T31&po=9&category=&groupCd"
"김종인 포기 발언은 기술 같습니다.","1408","https://www.clien.net/service/board/park/14816404?od=T31&po=0&category=&groupCd","김구라 재혼 곧 하겠네요","33","https://www.clien.net/service/board/park/14816358?od=T31&po=1&category=&groupCd","日 정부 관계자 '백화점엔 속옷을 사러가는 사람도 있을 수 있다.'","450","https://www.clien.net/service/board/park/14816310?od=T31&po=2&category=&groupCd","역시 최강욱!! 비례대표 토론회에서 미래한국당 발골하시네요..","635","https://www.clien.net/service/board/park/14816267?od=T31&po=3&category=&groupCd","범민주 지지합니다","2942","https://www.clien.net/service/board/park/14816224?od=T31&po=4&category=&groupCd","경기 재난기본소득 지급날이네요.","1810","https://www.clien.net/service/board/park/14816178?od=T31&po=5&category=&groupCd","일본은 도쿄 올림픽을 예정대로 개최했어야 ...","2434","https://www.clien.net/service/board/park/14816139?od=T31&po=6&category=&groupCd","샤오미 전동칫솔 가지고 다니기..","740","https://www.clien.net/service/board/park/14816092?od=T31&po=7&category=&groupCd","미통당 주동식 '문재인은 시진핑의 지시를 받는 남한총독'","1980","https://www.clien.net/service/board/park/14816048?od=T31&po=8&category=&groupCd","코로나 사망율.. 이건 의료수준에 따라 다른 것 아닐까요?","391","https://www.clien.net/service/board/park/14816002?od=T31&po=9&category=&groupCd","코로나 사망율.. 이건 의료수준에 따라 다른 것 아닐까요?","1428","https://www.clien.net/service/board/park/14816002?od=T31&po=9&category=&groupCd"
"폴드도 하스스톤 태블릿ui되네요","682","https://www.clien.net/service/board/park/14816403?od=T31&po=0&category=&groupCd","'사냥의 시간'은 넷플릭스 공개도 나가리 되었군요","204","https://www.clien.net/service/board/park/14816356?od=T31&po=1&category=&groupCd","사전선거가 나을까요?","1182","https://www.clien.net/service/board/park/14816309?od=T31&po=2&category=&groupCd","우리나라... 이제 슬슬","781","https://www.clien.net/service/board/park/14816266?od=T31&po=3&category=&groupCd","이 와중에 프랑스는 통행 제한을 4월 15일까지 연장하는 모양입니다.","256","https://www.clien.net/service/board/park/14816223?od=T31&po=4&category=&groupCd","오늘자(9일 0시) 신규확진자(+39명) 지역별/감염 경로별 구분","2997","https://www.clien.net/service/board/park/14816177?od=T31&po=5&category=&groupCd","박원순 '유흥업소 영업정지 보상 어려워'","965","https://www.clien.net/service/board/park/14816136?od=T31&po=6&category=&groupCd","김대호, 차명진보다 더 심각한 망언","1612","https://www.clien.net/service/board/park/14816091?od=T31&po=7&category=&groupCd","형님 먼저, 아우 먼저...","1118","https://www.clien.net/service/board/park/14816047?od=T31&po=8&category=&groupCd","ebs 서버 터진듯","4656","https://www.clien.net/service/board/park/14816001?od=T31&po=9&category=&groupCd","ebs 서버 터진듯","1408","https://www.clien.net/service/board/park/14816001?od=T31&po=9&category=&groupCd"
"이수진 나X원 토론?","2273","https://www.clien.net/service/board/park/14816400?od=T31&po=0&category=&groupCd","민생당 박지원 신당 아닌가요?","513","https://www.clien.net/service/board/park/14816354?od=T31&po=1&category=&groupCd","저는 이번에 투표를 못했습니다.","3272","https://www.clien.net/service/board/park/14816306?od=T31&po=2&category=&groupCd","애가 놀이용 방패가 필요 하다고 해서...make.jpg","2317","https://www.clien.net/service/board/park/14816264?od=T31&po=3&category=&groupCd","엑스클라우드 이용해보니 16:9 스마트폰이 끌립니다","2160","https://www.clien.net/service/board/park/14816222?od=T31&po=4&category=&groupCd","비례 개인적인 기준..","155","https://www.clien.net/service/board/park/14816176?od=T31&po=5&category=&groupCd","미스테리 지역구 TOP 3","1279","https://www.clien.net/service/board/park/14816132?od=T31&po=6&category=&groupCd","경기도,성남 재난기본소득은 개인별루 신청이 안되네요^^","1080","https://www.clien.net/service/board/park/14816090?od=T31&po=7&category=&groupCd","역시 노래는 아모르파티.jpg","1888","https://www.clien.net/service/board/park/14816045?od=T31&po=8&category=&groupCd","김종인 '모두 포기 해야 하는 건지 잠시 생각'.jpg","1534","https://www.clien.net/service/board/park/14815998?od=T31&po=9&category=&groupCd","김종인 '모두 포기 해야 하는 건지 잠시 생각'.jpg","682","https://www.clien.net/service/board/park/14815998?od=T31&po=9&category=&groupCd"
"신한포인트도 각종 포인트(엔포인트 등) 전환되는군욥","3395","https://www.clien.net/service/board/park/14816398?od=T31&po=0&category=&groupCd","부산 유니크 뭘까요;;?","141","https://www.clien.net/service/board/park/14816353?od=T31&po=1&category=&groupCd","전기차 택시를 할거면.... 택시 전용 전기차모델이 시급한거같습니다.","856","https://www.clien.net/service/board/park/14816305?od=T31&po=2&category=&groupCd","결혼생활 힘드세요?","325","https://www.clien.net/service/board/park/14816263?od=T31&po=3&category=&groupCd","열린민주당 봉도사 인터뷰 또 올려봅니다~ ^^","758","https://www.clien.net/service/board/park/14816221?od=T31&po=4&category=&groupCd","통합당 선대위원장 '막말 후보, 극히 일부 1%도 안 돼.과대 증폭'","564","https://www.clien.net/service/board/park/14816175?od=T31&po=5&category=&groupCd","아니 한 몸에서 나왔으면 함께 적과 맞서 싸워야지~!!!","937","https://www.clien.net/service/board/park/14816131?od=T31&po=6&category=&groupCd","솔찍히 일본....폭망","2681","https://www.clien.net/service/board/park/14816088?od=T31&po=7&category=&groupCd","JTBC 새브랜드송이","1375","https://www.clien.net/service/board/park/14816043?od=T31&po=8&category=&groupCd","오히려 가벼운 마음으로 열린민주당 선택 할 수있겠네요","1267","https://www.clien.net/service/board/park/14815997?od=T31&po=9&category=&groupCd","오히려 가벼운 마음으로 열린민주당 선택 할 수있겠네요","2274","https://www.clien.net/service/board/park/14815997?od=T31&po=9&category=&groupCd"
"""더불어"" ""민주당"" 입니다!!!","1115","https://www.clien.net/service/board/park/14816395?od=T31&po=0&category=&groupCd","SG워너비 김진호 신곡 댓글.jpg","318","https://www.clien.net/service/board/park/14816350?od=T31&po=1&category=&groupCd","열린민주당... 조막만한 메기지만 그래도 수조 속에 풀어 넣고자 합니다","660","https://www.clien.net/service/board/park/14816304?od=T31&po=2&category=&groupCd","최강욱은 정말 막힘이 없네요","356","https://www.clien.net/service/board/park/14816262?od=T31&po=3&category=&groupCd","코로나 때문에 중고 그래픽 카드 엄청 찾으시나봐요.","1410","https://www.clien.net/service/board/park/14816220?od=T31&po=4&category=&groupCd","의심스러운 BTV업데이트 UI 컬러","375","https://www.clien.net/service/board/park/14816174?od=T31&po=5&category=&groupCd","'여론조사 믿지마' 정세균의 기적을 강남갑 김성곤 후보도 보여주세요","154","https://www.clien.net/service/board/park/14816129?od=T31&po=6&category=&groupCd","오늘부터 여론조사 발표 금지가 우리나라밖에 없다던데","2888","https://www.clien.net/service/board/park/14816086?od=T31&po=7&category=&groupCd","이번 총선을 기점으로 열린민주당이 정의당을 대체합니다","907","https://www.clien.net/service/board/park/14816041?od=T31&po=8&category=&groupCd","비례대표정당에 대한 해찬옹의 설명","2521","https://www.clien.net/service/board/park/14815996?od=T31&po=9&category=&groupCd","비례대표정당에 대한 해찬옹의 설명","3399","https://www.clien.net/service/board/park/14815996?od=T31&po=9&category=&groupCd"
"차명진 막말은 왠지 덮어지는 분위기 같습니다","1092","https://www.clien.net/service/board/park/14816394?od=T31&po=0&category=&groupCd","[일본] TBS news '한국, 의료붕괴가 일어나지 않은 이유'","133","https://www.clien.net/service/board/park/14816347?od=T31&po=1&category=&groupCd","日전문가의 표정관리 ''올림픽 특수' 애초에 작아, 손실도 적다'","325","https://www.clien.net/service/board/park/14816303?od=T31&po=2&category=&groupCd","왜 싸우는지 잘 모르겠어요.","628","https://www.clien.net/service/board/park/14816260?od=T31&po=3&category=&groupCd","용인시 처인구청 확진자에 의한 2차 감염 이야긴 아직 없나보네요","1273","https://www.clien.net/service/board/park/14816219?od=T31&po=4&category=&groupCd","저번엔 한화, 이번에는 DB....","1436","https://www.clien.net/service/board/park/14816173?od=T31&po=5&category=&groupCd","딱 황희석까지만이라도!","754","https://www.clien.net/service/board/park/14816128?od=T31&po=6&category=&groupCd","""여기는 박근혜야"" 60대 남성, 정의당 후보 폭행","955","https://www.clien.net/service/board/park/14816082?od=T31&po=7&category=&groupCd","WHO 총장은 정치적 감각은 제로군요. 세계적인 불행입니다.","2640","https://www.clien.net/service/board/park/14816039?od=T31&po=8&category=&groupCd","일본, 대학생 감염 잇따라..귀성으로 감염 확산 우려","840","https://www.clien.net/service/board/park/14815995?od=T31&po=9&category=&groupCd","일본, 대학생 감염 잇따라..귀성으로 감염 확산 우려","1115","https://www.clien.net/service/board/park/14815995?od=T31&po=9&category=&groupCd"
"가짜뉴스 퇴치하는 방법 제안","1503","https://www.clien.net/service/board/park/14816393?od=T31&po=0&category=&groupCd","[선거관련] 안타까운 현실입니다.","335","https://www.clien.net/service/board/park/14816346?od=T31&po=1&category=&groupCd","강남 교보문고...","1654","https://www.clien.net/service/board/park/14816302?od=T31&po=2&category=&groupCd","오늘 할 일을 다 끝낸 직장인...... 뭐하죠...?","1060","https://www.clien.net/service/board/park/14816258?od=T31&po=3&category=&groupCd","비례갖고 왜 자꾸 험한 말들 하시나요?","2124","https://www.clien.net/service/board/park/14816215?od=T31&po=4&category=&groupCd","캐어받는 선수.gif","682","https://www.clien.net/service/board/park/14816172?od=T31&po=5&category=&groupCd","Evernote Preview 나왔네요.","1102","https://www.clien.net/service/board/park/14816127?od=T31&po=6&category=&groupCd","코로나바이러스감염증-19 국내 발생 현황(4월 9일, 0시 기준)","2201","https://www.clien.net/service/board/park/14816081?od=T31&po=7&category=&groupCd","대구사는 울 마누라: 투표 코로나를 뚫고도 꼭해야한다.txt","1192","https://www.clien.net/service/board/park/14816038?od=T31&po=8&category=&groupCd","스타벅스 고객 10명 중 6명은 '얼죽아'…콜드브루, 점유율 20%","1251","https://www.clien.net/service/board/park/14815994?od=T31&po=9&category=&groupCd","스타벅스 고객 10명 중 6명은 '얼죽아'…콜드브루, 점유율 20%","1093","https://www.clien.net/service/board/park/14815994?od=T31&po=9&category=&groupCd"
