,audiAcc,audiChange,audiCnt,audiInten,movieCd,movieNm,openDt,rank,rankInten,rankOldAndNew,rnum,salesAcc,salesAmt,salesChange,salesInten,salesShare,scrnCnt,showCnt,targetDt
1,3743582,-44.3,118080,-93877,20180939,남산의 부장들,2020-01-22,1,0,OLD,1,32547144270,945095180,-27.4,-355976620,44.0,1383,7262,20200130.0
2,1789019,-45.7,74508,-62668,20192101,히트맨,2020-01-22,2,0,OLD,2,15390499240,602166980,-27.5,-228841510,28.1,1027,4745,20200130.0
3,543714,-50,12298,-12283,20188421,미스터 주: 사라진 VIP,2020-01-22,3,0,OLD,3,4580917060,92604980,-37.9,-56547680,4.3,596,1570,20200130.0
4,374662,-42.3,11730,-8596,20192300,스파이 지니어스 ,2020-01-22,4,0,OLD,4,3075484300,88064900,-29.6,-37017120,4.1,574,1169,20200130.0
5,5859100,-44.3,8346,-6634,20100312,인셉션,2010-07-21,5,0,OLD,5,43645889200,67568700,-23.9,-21178300,3.1,204,605,20200130.0
6,1195437,-54.2,6106,-7222,20183002,해치지않아,2020-01-15,6,0,OLD,6,10043037830,47241640,-42.1,-34285520,2.2,471,895,20200130.0
7,95398,-36.5,4480,-2579,20198676,타오르는 여인의 초상,2020-01-16,7,0,OLD,7,791441040,35329360,-17.5,-7492020,1.6,142,275,20200130.0
8,10143,653.9,3943,3420,20193321,정직한 후보,2020-02-12,8,13,OLD,8,72029000,29833000,535.2,25136000,1.4,21,22,20200130.0
9,531929,-35.7,2765,-1533,20196670,나쁜 녀석들: 포에버,2020-01-15,9,0,OLD,9,4763880300,18913800,-31.8,-8837500,0.9,204,297,20200130.0
10,5235,100,2693,2693,20193836,핑크퐁 시네마 콘서트 : 우주대탐험,2020-01-30,10,0,NEW,10,36416500,20010500,100,20010500,0.9,176,341,20200130.0
